time_period,pij_lndu_croplands_to_croplands,pij_lndu_croplands_to_flooded,pij_lndu_croplands_to_forests_mangroves,pij_lndu_croplands_to_forests_primary,pij_lndu_croplands_to_forests_secondary,pij_lndu_croplands_to_grasslands,pij_lndu_croplands_to_other,pij_lndu_croplands_to_pastures,pij_lndu_croplands_to_settlements,pij_lndu_croplands_to_shrublands,pij_lndu_croplands_to_wetlands,pij_lndu_flooded_to_croplands,pij_lndu_flooded_to_flooded,pij_lndu_flooded_to_forests_mangroves,pij_lndu_flooded_to_forests_primary,pij_lndu_flooded_to_forests_secondary,pij_lndu_flooded_to_grasslands,pij_lndu_flooded_to_other,pij_lndu_flooded_to_pastures,pij_lndu_flooded_to_settlements,pij_lndu_flooded_to_shrublands,pij_lndu_flooded_to_wetlands,pij_lndu_forests_mangroves_to_croplands,pij_lndu_forests_mangroves_to_flooded,pij_lndu_forests_mangroves_to_forests_mangroves,pij_lndu_forests_mangroves_to_forests_primary,pij_lndu_forests_mangroves_to_forests_secondary,pij_lndu_forests_mangroves_to_grasslands,pij_lndu_forests_mangroves_to_other,pij_lndu_forests_mangroves_to_pastures,pij_lndu_forests_mangroves_to_settlements,pij_lndu_forests_mangroves_to_shrublands,pij_lndu_forests_mangroves_to_wetlands,pij_lndu_forests_primary_to_croplands,pij_lndu_forests_primary_to_flooded,pij_lndu_forests_primary_to_forests_mangroves,pij_lndu_forests_primary_to_forests_primary,pij_lndu_forests_primary_to_forests_secondary,pij_lndu_forests_primary_to_grasslands,pij_lndu_forests_primary_to_other,pij_lndu_forests_primary_to_pastures,pij_lndu_forests_primary_to_settlements,pij_lndu_forests_primary_to_shrublands,pij_lndu_forests_primary_to_wetlands,pij_lndu_forests_secondary_to_croplands,pij_lndu_forests_secondary_to_flooded,pij_lndu_forests_secondary_to_forests_mangroves,pij_lndu_forests_secondary_to_forests_primary,pij_lndu_forests_secondary_to_forests_secondary,pij_lndu_forests_secondary_to_grasslands,pij_lndu_forests_secondary_to_other,pij_lndu_forests_secondary_to_pastures,pij_lndu_forests_secondary_to_settlements,pij_lndu_forests_secondary_to_shrublands,pij_lndu_forests_secondary_to_wetlands,pij_lndu_grasslands_to_croplands,pij_lndu_grasslands_to_flooded,pij_lndu_grasslands_to_forests_mangroves,pij_lndu_grasslands_to_forests_primary,pij_lndu_grasslands_to_forests_secondary,pij_lndu_grasslands_to_grasslands,pij_lndu_grasslands_to_other,pij_lndu_grasslands_to_pastures,pij_lndu_grasslands_to_settlements,pij_lndu_grasslands_to_shrublands,pij_lndu_grasslands_to_wetlands,pij_lndu_other_to_croplands,pij_lndu_other_to_flooded,pij_lndu_other_to_forests_mangroves,pij_lndu_other_to_forests_primary,pij_lndu_other_to_forests_secondary,pij_lndu_other_to_grasslands,pij_lndu_other_to_other,pij_lndu_other_to_pastures,pij_lndu_other_to_settlements,pij_lndu_other_to_shrublands,pij_lndu_other_to_wetlands,pij_lndu_pastures_to_croplands,pij_lndu_pastures_to_flooded,pij_lndu_pastures_to_forests_mangroves,pij_lndu_pastures_to_forests_primary,pij_lndu_pastures_to_forests_secondary,pij_lndu_pastures_to_grasslands,pij_lndu_pastures_to_other,pij_lndu_pastures_to_pastures,pij_lndu_pastures_to_settlements,pij_lndu_pastures_to_shrublands,pij_lndu_pastures_to_wetlands,pij_lndu_settlements_to_croplands,pij_lndu_settlements_to_flooded,pij_lndu_settlements_to_forests_mangroves,pij_lndu_settlements_to_forests_primary,pij_lndu_settlements_to_forests_secondary,pij_lndu_settlements_to_grasslands,pij_lndu_settlements_to_other,pij_lndu_settlements_to_pastures,pij_lndu_settlements_to_settlements,pij_lndu_settlements_to_shrublands,pij_lndu_settlements_to_wetlands,pij_lndu_shrublands_to_croplands,pij_lndu_shrublands_to_flooded,pij_lndu_shrublands_to_forests_mangroves,pij_lndu_shrublands_to_forests_primary,pij_lndu_shrublands_to_forests_secondary,pij_lndu_shrublands_to_grasslands,pij_lndu_shrublands_to_other,pij_lndu_shrublands_to_pastures,pij_lndu_shrublands_to_settlements,pij_lndu_shrublands_to_shrublands,pij_lndu_shrublands_to_wetlands,pij_lndu_wetlands_to_croplands,pij_lndu_wetlands_to_flooded,pij_lndu_wetlands_to_forests_mangroves,pij_lndu_wetlands_to_forests_primary,pij_lndu_wetlands_to_forests_secondary,pij_lndu_wetlands_to_grasslands,pij_lndu_wetlands_to_other,pij_lndu_wetlands_to_pastures,pij_lndu_wetlands_to_settlements,pij_lndu_wetlands_to_shrublands,pij_lndu_wetlands_to_wetlands
0,0.9727282107985994,0.0,0.0,0.0,0.0220448005770048,0.0,0.0,0.0036361027068538,0.0002272580517545,0.0,0.0013636278657873,0.0,0.8966873536596859,0.0,0.0,0.0042962587773,0.0,0.000219961325414,0.0003519707758614,0.0002419510885892,0.0002199623269583,0.0979825420461909,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099535967170239e-05,0.0,0.9167829510369356,0.0,0.0,0.0007585478920302,1.099424316467673e-05,1.0995625145519632e-05,0.0,0.0824255158430523,0.000242768710359,0.0019753935928483,0.0,0.0,0.9123506476123484,0.0,0.0002930659512843,0.0028948035014572,0.0066151720011688,0.0002988797371947,0.0753292688933392,0.0,0.0,0.0,0.0,0.0,0.1379291445482066,0.0344821755121387,0.1034478968579179,0.7241407830817367,0.0,0.0,0.0,0.0118318754536891,0.0,0.0,0.0746702108044006,0.0048379297948463,0.4920343852955027,0.0157740623426336,0.1597114114073919,0.0105163994358905,0.2306237254656447,0.0006004710622938,0.0,0.0,0.0,0.0491336977838559,0.0001412982011448,0.0004944945388258,0.8534479665514578,0.0904246565518405,0.0041679036232905,0.0015895116872905,0.0001147921108061,0.0003826252043378,0.0,0.0,0.0495099007726749,0.0001339233098464,0.0001530523719961,0.0303603434462659,0.9154618382415214,0.0016260696276792,0.0022574549148717,0.0,0.0004579844843351,0.0,0.0,0.1130830293543182,0.0,0.0018316387144003,0.0467044503863453,0.0315963519178959,0.7385462201740022,0.0677803249687028,2.497185388624017e-05,0.0427050171000272,0.0,0.0,0.238846217947549,4.9928166065485845e-06,0.0020519570651939,0.0004044848224777,0.0005742411307191,0.0008906515051702,0.7144974657583698
1,0.920381742446268,0.0,0.0,0.0,0.0748950516528226,0.0,0.0,0.0017991222042849,0.0006747070655322,0.0,0.0022493766310919,0.0,0.7410533672291542,0.0,0.0,0.0069704801102908,0.0,0.0002971205314977,1.98094106259361e-05,0.0005150379141962,0.0001584691488453,0.2509857156553896,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1348570762460648e-05,0.0,0.9529690671187016,0.0,0.0,0.0002723166803888,0.0,0.0,0.0,0.0467472676301471,0.0003547149222692,0.0009614292379906,0.0,0.0,0.9107720667398204,1.764854420887181e-06,0.0002382729163672,0.0021561004440132,0.0057093749966605,0.0003106445824013,0.0794956313060563,0.0,0.0,0.0,0.0,0.0,0.2568330809700163,0.2140351981978336,0.2568518873079835,0.1712277882198903,0.0428079917694914,0.0582440535347849,0.0,0.0132677361840334,0.0,0.0,0.224755772971176,0.0,0.4737472911140858,0.0118700073682527,0.0027928904326621,0.0083788825256513,0.2651874194041383,0.0004342000470439,7.235485658865058e-05,0.0,0.0,0.0912345192271,3.618384504348157e-05,0.0006151187904747,0.8276460266293785,0.0740281712854724,0.0031839915329541,0.0027494337859439,7.320702417154675e-05,0.0001281292291681,0.0,0.0,0.0537060727693686,0.0001098130693687,9.151284569413535e-05,0.027655402396943,0.91571003906363,0.0008785065791662,0.0016473170224894,0.0,0.0,0.0,0.0,0.1771552184952148,0.0,0.0045663892815474,0.0319597628520673,0.0310469172505129,0.698653304970195,0.0566184071504624,4.5330974711698325e-05,0.0335873837070728,0.0,0.0,0.2464093566927147,0.0,0.0020569807639365,0.0001410262477931,0.0006396190560136,0.0008601513659585,0.7162601511917989
2,0.9259074186075292,0.0,0.0,0.0,0.0650610590999891,0.0,0.0,0.0046314049568785,0.0020840922659695,0.0,0.0023160250696334,0.0,0.7999964333512495,0.0,0.0,0.0087145345946197,8.844096483333118e-05,0.0004703065788478,0.0,0.0003135361561531,0.0001764320268328,0.1902403163274635,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0785679087161567e-05,0.0,0.8984184863353953,0.0,0.0,0.0003019395681982,0.0,0.0,0.0,0.1012687884173192,0.0008065495765811,0.0023016839763658,0.0,0.0,0.9101137647347094,0.0,0.0003973472347306,0.0061447632325009,0.0057681477560283,0.0003891938198942,0.0740785496691894,0.0,0.0,0.0,0.0,0.0,0.5714231378294642,0.0,0.2857194194023772,0.1428574427681586,0.0,0.0,0.0,0.0115572728542606,0.0,0.0,0.2380569151963763,0.0,0.383181948972322,0.0115571332701044,0.0069341483829994,0.0069340700861746,0.3417785112377625,0.0005439707648541,0.0003108368139388,0.0,0.0,0.0590191476154939,0.0001165687674873,0.0006604906315103,0.8618731650039055,0.0717642418231618,0.0022534516609487,0.0034581269186992,9.001643234389135e-05,0.0001260323344316,0.0,0.0,0.0428485489864705,0.0001440279008069,0.0002160492748072,0.0233866267526246,0.930758200870888,0.0012962536561154,0.0011342437915115,0.0014747307479522,0.0039336114011807,0.0,0.0,0.0911872387765456,0.0,0.003441713190922,0.0358894745574244,0.0373651336395941,0.7334440725277788,0.0932640251586019,5.373463623556002e-05,0.0392203015577839,0.0,0.0,0.2465367739493867,1.4653634808406093e-05,0.0024820006389383,0.0005860897928726,0.0007619733985941,0.0008761005300174,0.7094683718613627
3,0.6926108974753348,0.0,0.0,0.0,0.290668736350397,0.0,0.0,0.0122613488939529,0.0017835025331724,0.0002229726989694,0.0024525420481733,0.0001330743627975,0.7021071643250429,0.0,0.0,0.0227745461999455,0.0001330724179261,0.000909391823385,0.0005323070883261,0.0012864211058911,0.0023506960138848,0.2697733266628007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9283426041706268,0.0,0.0,0.0004254074985374,0.0,0.0,0.0,0.0712319883308357,0.0005936199207638,0.001262489150564,0.0,0.0,0.9099257527332812,8.858640547393405e-06,0.0005227492414666,0.011154804047816,0.0067017743632629,0.0014140860914023,0.0684158658108953,0.0,0.0770714957865419,0.0,0.0,0.0385461357028591,0.3082959163062962,0.0385387682545948,0.1926842112124855,0.2312166436210991,0.0385368167183169,0.0751100123978062,0.0015216549489778,0.0282420643381889,0.0,0.0,0.2259929215187764,0.0015217704408801,0.3835582511091441,0.0114131031788802,0.0060873316984963,0.0228268934295863,0.3188360093370695,0.0005520397970532,0.0006992223012663,0.0,0.0,0.080317407933735,0.0002576063319116,0.0011776588176658,0.8376904755438626,0.0708417400265232,0.0045263069903408,0.0039375422576413,8.76262965229673e-05,0.0004381495932708,0.0,0.0,0.0310554975768952,0.0001402088002154,0.0004206272567247,0.0248686129470901,0.9389058476588276,0.0026112603537826,0.0014721695166705,0.0009817110539683,0.0019636588701066,0.0,0.0,0.1713917731059957,0.0,0.0078544003438586,0.0701924416202014,0.0299422322226263,0.6571166049348277,0.0605571778484151,3.4039818020012625e-05,0.0399578795086233,0.0,0.0,0.2554089225167947,5.83517136087889e-05,0.0027777647835544,0.0008948270576224,0.0007954109272531,0.0034670534204818,0.6966057502540415
4,0.8720786239846671,0.0002874783379559,0.0,0.0,0.1207346077607012,0.0,0.0,0.004024518119332,0.0002874365904133,0.0002874513855044,0.0022998838214257,0.0,0.7865152296470302,0.0,0.0,0.0055815608627311,0.0,0.0003688121381072,0.000147528387904,0.0002458661201779,0.000737642601067,0.2064033602429823,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9250317856234236,0.0,0.0,0.0004154692184443,0.0,0.0,0.0,0.0745527451581318,0.0005316851582198,0.0011869057272256,0.0,0.0,0.8940575806282018,0.0,0.0006911100223102,0.0103263933544447,0.0054991020450971,0.0017414031769248,0.0859658198875757,0.0,0.0,0.0,0.0,0.16666497511479,0.166672554397933,0.0,0.08333274197293,0.1875053201774015,0.1041614787877389,0.2916629295492063,0.0,0.0111752222292496,0.0,0.0,0.1446165582089899,0.0006573471211356,0.3777965637297796,0.0098601620110616,0.0170905433946127,0.0328683491802779,0.4059352541248927,0.0002588701268696,0.0003236019570681,0.0,0.0,0.0540185524718979,0.0001617983787087,0.0004853919815078,0.8705520715024005,0.0592816640833885,0.0060513787511684,0.0088666707469901,5.034962026089072e-05,0.0002853156619001,0.0,0.0,0.0288528640302504,3.356704185852715e-05,0.0,0.0275235549502703,0.9385120304548282,0.0023327733807675,0.0024095448598637,0.0,0.0030679454935267,0.0,0.0,0.1419774889907248,0.0,0.0076697412061642,0.0987795130408066,0.0285302766645352,0.550270235812018,0.1697047987922242,4.976487541344971e-05,0.0307923536513392,0.0,0.0,0.1747593383255683,0.0,0.0017637509024966,0.0003085293906103,0.0004677447645986,0.0014234460590013,0.790435072030972
5,0.9432242964038025,0.0,0.0,0.0,0.0457530802684094,0.0,0.0,0.0044684755377981,0.0005957864756236,0.0,0.0059583613143664,0.0,0.8201363374222559,0.0,0.0,0.0067600754973499,0.0,0.0010024329786712,5.141203821135097e-05,0.0001028123109514,7.710994118107723e-05,0.1718698198113791,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9192721272888864,0.0,0.0,0.0002631813362399,0.0,0.0,0.0,0.0804646913748736,0.0005968691281457,0.0009569679818398,0.0,0.0,0.8922308404311176,0.0,0.0004783594458395,0.0046098694644977,0.002554525022503,0.000653345336912,0.0979192231891444,0.0,0.0,0.0,0.0,0.0,0.6875024761480432,0.0625015081110632,0.1875048692906882,0.0,0.0,0.0624911464502053,0.0,0.0269046876755855,0.0,0.0,0.1816184732509418,0.0021240458871647,0.3952938514252292,0.0056640077212684,0.0014160810995033,0.0042480425362978,0.3827308104040089,0.0001435496601737,0.0009474272326588,0.0,0.0,0.0393724898649199,0.0001435424623255,0.0003158185010429,0.9077174526458086,0.04375158770328,0.0030431445257069,0.0045649874040833,6.545825739043959e-05,0.0005890889283646,0.0,0.0,0.0291438359532921,1.636400295800265e-05,0.0002127363478037,0.0267054616359396,0.9400597269233568,0.0010799910887649,0.0021273368621297,0.0,0.0169488162625342,0.0,0.0,0.1726552368073694,0.0,0.0135020840395821,0.0511275654741135,0.0399294242012155,0.5963693202305231,0.1094675529846618,1.3390960194131003e-05,0.0223959174156739,0.0,0.0,0.1430077719211789,8.926813751528093e-06,0.0020125740296668,0.0001651201985061,0.0004105867240904,0.0009683789653424,0.8310173329715955
6,0.9129195655003915,0.0,0.0,0.0,0.0799419919602943,0.0,0.0002855625814774,0.0017129799372207,0.0002855325226253,0.0,0.0048543674979905,0.0,0.7604615432819565,0.0,0.0,0.008606221088973,0.0,0.000691318695157,0.0003190525431355,0.0008773414228877,0.0008241849044551,0.2282203380634349,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523218825196116,0.0,0.0,0.0003404187471015,0.0,0.0,0.0,0.0473376987332869,0.0004610114536282,0.0021017976307518,0.0,0.0,0.8970923160074326,0.0,0.000475144365401,0.0044368818357104,0.0043033310872264,0.0005775046547352,0.0905520129651141,0.0,0.0454524590456863,0.0,0.0,0.0454555887302467,0.0909045135529876,0.0909054386601472,0.5454551167687975,0.0909063292717857,0.0,0.0909205539703487,0.0,0.0234775442874042,0.0,0.0,0.1823234488989134,0.0,0.3492103009144239,0.0064186845778563,0.017828901009424,0.0071321980098591,0.4136089223021188,0.0003055808732431,0.0002222310945331,0.0,0.0,0.0846896116644635,2.7778282854890996e-05,0.0006945031305831,0.8583080581828338,0.0457238109055019,0.0056390791969146,0.0043893466690716,6.600619527976412e-05,0.0001485260222835,0.0,0.0,0.0285322795425819,0.0,0.0001485203273707,0.0296210874377796,0.936433848712342,0.0018151959546066,0.0032345358077558,0.0007069528726153,0.005302398452811,0.0,0.0,0.0919036633925358,0.0,0.0067162954674029,0.0466576771312419,0.0328728635701004,0.6945910633367803,0.121249085776512,5.511415313293112e-05,0.031895302515815,0.0,0.0,0.1770809710186338,3.937113978492065e-06,0.001921062423813,0.0003857588547299,0.0003936109132328,0.0005116986271764,0.7877525443794875
7,0.8955921235236907,0.0002885064213553,0.0,0.0,0.083929604063262,0.0,0.0,0.009517555985993,0.0017304533934464,0.0011535911822249,0.0077881654300275,0.0,0.7911983490611646,0.0,0.0,0.015431581217581,0.0,0.0010300541275354,0.0002377088444585,0.0008452455238024,0.0005018447834371,0.1907552164420207,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.191568173190039e-05,0.0,0.9226929610168754,0.0,0.0,0.00019060401579,0.0,1.1915609399537087e-05,0.0,0.0770926036762032,0.0005216972350499,0.0021991613162884,0.0,0.0,0.9061414640217634,7.874510427820422e-06,0.0002174085237305,0.0079706733278179,0.0039397065915349,0.0019804588264822,0.0770215556469048,0.0,0.0,0.0,0.0,0.0,0.7499429542092791,0.0,0.0,0.0,0.0,0.2500570457907209,0.0,0.0487672104393075,0.0,0.0,0.2340112697271088,0.0,0.2968038147345328,0.0285075814643109,0.0097520269224415,0.0082509072974097,0.3739071894148886,0.0007941175777286,0.000255258399714,0.0,0.0,0.0483431725325086,5.672206899665436e-05,0.0004538143451639,0.8916997234957894,0.047222629128643,0.0083097199882545,0.0028648424632009,0.0001478402101788,0.0001807111988312,0.0,0.0,0.026201296020801,0.0,0.0001971339399501,0.0289509599764889,0.9396239889446292,0.0034167141964539,0.0012813555126666,0.0003638947158181,0.0040031181190656,0.0,0.0,0.125172366266739,0.0,0.0047307263331351,0.0454860720768589,0.0560400447810892,0.7034307311803102,0.0607730465269836,7.364019124272422e-05,0.0535374137206949,0.0,0.0,0.1878607088514352,1.1507884549156305e-05,0.0019203426430745,0.0016119551868861,0.0008477135061771,0.0013348930076366,0.7528018250083035
8,0.9143778792870444,0.0,0.0,0.0,0.0695752061370501,0.0,0.0,0.0078775214206349,0.0017506848754431,0.0008751929854843,0.0055435152943429,0.0,0.8075855331325743,0.0,0.0,0.0087099433183766,0.0,0.0009308019358709,0.0001329571056863,0.0003545800872364,0.0002880787001531,0.1819981057201021,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.221060039111492e-05,1.221163829011786e-05,0.0,0.9299308325135688,0.0,0.0,0.0001099016368112,0.0,0.0,0.0,0.0699348436109385,0.000704442657402,0.0028198379677978,0.0,0.0,0.9063429110072512,0.0,0.000276669137169,0.0091132582653043,0.0039498352758808,0.0019767424850652,0.0748163032041295,0.0,0.0833303072128966,0.0,0.0,0.0833570650935409,0.3333255639272216,0.0833390866034733,0.1666607811594715,0.0833305314409467,0.0833282776615714,0.0833283869008778,0.0,0.0616686740380325,0.0,0.0,0.1511751237039975,0.0009067685460745,0.3349829905152993,0.0181374578184325,0.0244847623760236,0.0126966072958556,0.3959476157062843,0.001240849898146,0.0001978636551094,0.0,0.0,0.0368037722681604,2.6401164288527274e-05,0.0004488443635396,0.9086181155930996,0.04277063732139,0.0046466069640034,0.0052469087722627,0.0001631475646673,0.000293679786856,0.0,0.0,0.0118480619896899,0.0,3.262933868441259e-05,0.0215850483874826,0.9619660211515788,0.002659306459884,0.0014521053211568,0.0007848854267236,0.0112521605482574,0.0,0.0,0.0968060977233768,0.0,0.0034016119239165,0.1316047686882246,0.0470944484991306,0.6606504470823138,0.0484055801080564,6.002112046039221e-05,0.0480546604821095,0.0,0.0,0.1586165092347857,2.400751399696117e-05,0.0017629250159807,0.0014684587703364,0.00060868812253,0.0015944242037984,0.7878103055360016
